db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
0ac6f85d-242e-4e86-be81-95c6222977c0,Natural Roll,Samba,Silver/Gold,Yes,Natural Roll,Gold,6,2,https://www.dancecentral.info/ballroom/international-style/samba/natural-roll,docs/figures steps/parsed/chunk_1/samba_natural-roll.json
b5e83d8c-71f3-4eb0-a06b-eb1483b3f2dd,Open Rocks (to R and L),Samba,Silver/Gold,Yes,Open Rocks (to R and L),Silver,8,0,https://www.dancecentral.info/ballroom/international-style/samba/open-rocks,docs/figures steps/parsed/chunk_1/samba_open-rocks.json
756e8dcb-f838-4f7b-a2ee-b4711f74c609,Outside Basic Movement,Samba,Newcomer/Bronze,No,,,,,,
f682a563-44d8-4151-8881-723b242be342,Plait,Samba,Silver/Gold,Yes,Plait,Silver,10,18,https://www.dancecentral.info/ballroom/international-style/samba/plait,docs/figures steps/parsed/chunk_1/samba_plait.json
b63b881d-05ab-4e88-86d0-ab10a2823ac2,Progressive Basic Movement,Samba,Newcomer/Bronze,No,,,,,,
a621e300-ca7a-447e-b2ba-2f40344ea6d1,Promenade and Counter Promenade Runs,Samba,Silver/Gold,Yes,Promenade and Counter Promenade Runs,Gold,18,0,https://www.dancecentral.info/ballroom/international-style/samba/promenade-and-counter-promenade-runs,docs/figures steps/parsed/chunk_1/samba_promenade-and-counter-promenade-runs.json
4c49e898-e82b-4765-96d3-86cbb3d21701,Reverse Basic Movement,Samba,Newcomer/Bronze,No,,,,,,
ad2efb2c-0190-4dd3-be91-160e70e18cdf,Reverse Roll,Samba,Silver/Gold,Yes,Reverse Roll,Gold,10,7,https://www.dancecentral.info/ballroom/international-style/samba/reverse-roll,docs/figures steps/parsed/chunk_1/samba_reverse-roll.json
be872570-99c8-439c-8a0b-b9df0b576923,Reverse Turn,Samba,Newcomer/Bronze,Yes,Reverse Turn,Bronze,8,17,https://www.dancecentral.info/ballroom/international-style/samba/reverse-turn,docs/figures steps/parsed/chunk_1/samba_reverse-turn.json
142b8aa4-7879-4edf-a699-c3e9ff1cc6f0,Rhythm Bounce (on LF and RF),Samba,Newcomer/Bronze,Yes,Rhythm Bounce (on LF and RF),Newcomer,1,13,https://www.dancecentral.info/ballroom/international-style/samba/rhythm-bounce,docs/figures steps/parsed/chunk_1/samba_rhythm-bounce.json
2057921c-c1a0-4773-b640-49d2dba7d4aa,Rolling of the Arm,Samba,Silver/Gold,Yes,Rolling of the Arm,Silver,6,14,https://www.dancecentral.info/ballroom/international-style/samba/rolling-off-the-arm,docs/figures steps/parsed/chunk_1/samba_rolling-off-the-arm.json
9a260b88-c148-471b-b2ff-9c369b896504,Roundabout (to R and L),Samba,Silver/Gold,Yes,Roundabout (to R and L),Gold,6,10,https://www.dancecentral.info/ballroom/international-style/samba/roundabout,docs/figures steps/parsed/chunk_1/samba_roundabout.json
07930568-df3d-42da-822f-921a2fc852d1,Samba Locks,Samba,Silver/Gold,Yes,Samba Locks,Gold,6,4,https://www.dancecentral.info/ballroom/international-style/samba/samba-locks,docs/figures steps/parsed/chunk_1/samba_samba-locks.json
1cb603ac-8343-4dcb-a7c5-7e68ca532af1,Samba Walks in PP Position (RF and LF) (Promenade Samba Walks),Samba,Newcomer/Bronze,Yes,Samba Walks in PP Position (RF and LF) (Promenade Samba Walks),Newcomer,3,0,https://www.dancecentral.info/ballroom/international-style/samba/samba-walks,docs/figures steps/parsed/chunk_1/samba_samba-walks.json
71084ae0-ce69-4d0a-8dd6-5de864da42ab,Samba Walks in Right Shadow Position,Samba,Silver/Gold,No,,,,,,
3835dc19-08d9-4b15-837e-1643633be0b2,Shadow Circular Volta (to R and L),Samba,Newcomer/Bronze,Yes,Shadow Circular Volta (to R and L),Silver,1,2,https://www.dancecentral.info/ballroom/international-style/samba/shadow-circular-volta,docs/figures steps/parsed/chunk_1/samba_shadow-circular-volta.json
0e360264-6622-452a-8b6b-342e834300d8,Shadow Travelling Volta,Samba,Newcomer/Bronze,Yes,Shadow Travelling Volta,Bronze,1,0,https://www.dancecentral.info/ballroom/international-style/samba/shadow-travelling-volta,docs/figures steps/parsed/chunk_1/samba_shadow-travelling-volta.json
